"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.al","healthy.al","gate_rank_num.al","runtime_sec.al","selected_pool.al","selected_candidate.al","gate_overall.exal","healthy.exal","gate_rank_num.exal","runtime_sec.exal","selected_pool.exal","selected_candidate.exal","gate_delta_exal_minus_al","gate_comparison","runtime_ratio_exal_over_al","faster_method"
"static_shrink::gausmix::0p95::1000::rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p95",1000,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,171.218,"hybrid_291_selection","F085_sub2_s100",0,"tie",,
"static_shrink::gausmix::0p95::1000::rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p95",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,12.344,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p95::1000::ridge","root__static_shrink__gausmix__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","WARN",TRUE,2,,"baseline_original","baseline",-1,"al_better",,
"static_shrink::gausmix::0p95::1000::ridge","root__static_shrink__gausmix__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,12.37,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p05::100::rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs","static_shrink","static_shrink","laplace","0p05",100,"rhs","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,55.483,"hybrid_291_selection","F080_sub2_s105",0,"tie",,
"static_shrink::laplace::0p05::100::rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs","static_shrink","static_shrink","laplace","0p05",100,"rhs","vb","PASS",TRUE,1,0.959000000000001,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,11.451,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",11.940563,"al"
"static_shrink::laplace::0p05::100::ridge","root__static_shrink__laplace__tau_0p05__tt_100__ridge","static_shrink","static_shrink","laplace","0p05",100,"ridge","mcmc","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,52.228,"syncedbase_targeted_followup_20260407","row_0011",0,"tie",,
"static_shrink::laplace::0p05::100::ridge","root__static_shrink__laplace__tau_0p05__tt_100__ridge","static_shrink","static_shrink","laplace","0p05",100,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,11.397,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p05::1000::rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","laplace","0p05",1000,"rhs","mcmc","PASS",TRUE,1,9.389,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,60.307,"hybrid_291_selection","F080_sub2_s105",0,"tie",6.423155,"al"
"static_shrink::laplace::0p05::1000::rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","laplace","0p05",1000,"rhs","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,10.99,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p05::1000::ridge","root__static_shrink__laplace__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","laplace","0p05",1000,"ridge","mcmc","PASS",TRUE,1,9.275,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,140.797,"hybrid_291_selection","F0825_sub2_s1025_rwlong",0,"tie",15.18027,"al"
"static_shrink::laplace::0p05::1000::ridge","root__static_shrink__laplace__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","laplace","0p05",1000,"ridge","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,10.888,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p25::100::rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","mcmc","PASS",TRUE,1,20.06,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,52.708,"hybrid_291_selection","F080_sub2_s105",0,"tie",2.627517,"al"
