unit_id	unit_type	root_id	task_id	barrier_id	root_kind	family	tau	fit_size	prior	model	scope	state	recommended_action	location	notes
mp__root__static_paper__laplace__tau_0p25__tt_100__exal	model_path	root__static_paper__laplace__tau_0p25__tt_100	mp__root__static_paper__laplace__tau_0p25__tt_100__exal	NA	static_paper	laplace	0.25	100	paper	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p25__tt_1000__al	model_path	root__static_paper__laplace__tau_0p25__tt_1000	mp__root__static_paper__laplace__tau_0p25__tt_1000__al	NA	static_paper	laplace	0.25	1000	paper	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_paper__laplace__tau_0p25__tt_1000__exal	model_path	root__static_paper__laplace__tau_0p25__tt_1000	mp__root__static_paper__laplace__tau_0p25__tt_1000__exal	NA	static_paper	laplace	0.25	1000	paper	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p95__tt_100__al	model_path	root__static_paper__laplace__tau_0p95__tt_100	mp__root__static_paper__laplace__tau_0p95__tt_100__al	NA	static_paper	laplace	0.95	100	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p95__tt_100__exal	model_path	root__static_paper__laplace__tau_0p95__tt_100	mp__root__static_paper__laplace__tau_0p95__tt_100__exal	NA	static_paper	laplace	0.95	100	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p95__tt_1000__al	model_path	root__static_paper__laplace__tau_0p95__tt_1000	mp__root__static_paper__laplace__tau_0p95__tt_1000__al	NA	static_paper	laplace	0.95	1000	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p95__tt_1000__exal	model_path	root__static_paper__laplace__tau_0p95__tt_1000	mp__root__static_paper__laplace__tau_0p95__tt_1000__exal	NA	static_paper	laplace	0.95	1000	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p05__tt_100__al	model_path	root__static_paper__normal__tau_0p05__tt_100	mp__root__static_paper__normal__tau_0p05__tt_100__al	NA	static_paper	normal	0.05	100	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p05__tt_100__exal	model_path	root__static_paper__normal__tau_0p05__tt_100	mp__root__static_paper__normal__tau_0p05__tt_100__exal	NA	static_paper	normal	0.05	100	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p05__tt_1000__al	model_path	root__static_paper__normal__tau_0p05__tt_1000	mp__root__static_paper__normal__tau_0p05__tt_1000__al	NA	static_paper	normal	0.05	1000	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p05__tt_1000__exal	model_path	root__static_paper__normal__tau_0p05__tt_1000	mp__root__static_paper__normal__tau_0p05__tt_1000__exal	NA	static_paper	normal	0.05	1000	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p25__tt_100__al	model_path	root__static_paper__normal__tau_0p25__tt_100	mp__root__static_paper__normal__tau_0p25__tt_100__al	NA	static_paper	normal	0.25	100	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p25__tt_100__exal	model_path	root__static_paper__normal__tau_0p25__tt_100	mp__root__static_paper__normal__tau_0p25__tt_100__exal	NA	static_paper	normal	0.25	100	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p25__tt_1000__al	model_path	root__static_paper__normal__tau_0p25__tt_1000	mp__root__static_paper__normal__tau_0p25__tt_1000__al	NA	static_paper	normal	0.25	1000	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p25__tt_1000__exal	model_path	root__static_paper__normal__tau_0p25__tt_1000	mp__root__static_paper__normal__tau_0p25__tt_1000__exal	NA	static_paper	normal	0.25	1000	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p95__tt_100__al	model_path	root__static_paper__normal__tau_0p95__tt_100	mp__root__static_paper__normal__tau_0p95__tt_100__al	NA	static_paper	normal	0.95	100	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p95__tt_100__exal	model_path	root__static_paper__normal__tau_0p95__tt_100	mp__root__static_paper__normal__tau_0p95__tt_100__exal	NA	static_paper	normal	0.95	100	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p95__tt_1000__al	model_path	root__static_paper__normal__tau_0p95__tt_1000	mp__root__static_paper__normal__tau_0p95__tt_1000__al	NA	static_paper	normal	0.95	1000	paper	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__normal__tau_0p95__tt_1000__exal	model_path	root__static_paper__normal__tau_0p95__tt_1000	mp__root__static_paper__normal__tau_0p95__tt_1000__exal	NA	static_paper	normal	0.95	1000	paper	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__al	model_path	root__static_shrink__gausmix__tau_0p05__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__al	NA	static_shrink	gausmix	0.05	100	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p05__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__exal	NA	static_shrink	gausmix	0.05	100	rhs	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__al	model_path	root__static_shrink__gausmix__tau_0p05__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__al	NA	static_shrink	gausmix	0.05	100	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p05__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__exal	NA	static_shrink	gausmix	0.05	100	ridge	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__al	model_path	root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__al	NA	static_shrink	gausmix	0.05	1000	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__exal	NA	static_shrink	gausmix	0.05	1000	rhs	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__al	model_path	root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__al	NA	static_shrink	gausmix	0.05	1000	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__exal	NA	static_shrink	gausmix	0.05	1000	ridge	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__al	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__al	NA	static_shrink	gausmix	0.25	100	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	NA	static_shrink	gausmix	0.25	100	rhs	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__al	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__al	NA	static_shrink	gausmix	0.25	100	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	NA	static_shrink	gausmix	0.25	100	ridge	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__al	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__al	NA	static_shrink	gausmix	0.25	1000	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	NA	static_shrink	gausmix	0.25	1000	rhs	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__al	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__al	NA	static_shrink	gausmix	0.25	1000	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__exal	NA	static_shrink	gausmix	0.25	1000	ridge	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__al	model_path	root__static_shrink__gausmix__tau_0p95__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__al	NA	static_shrink	gausmix	0.95	100	rhs	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p95__tt_100__rhs	mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__exal	NA	static_shrink	gausmix	0.95	100	rhs	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__al	model_path	root__static_shrink__gausmix__tau_0p95__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__al	NA	static_shrink	gausmix	0.95	100	ridge	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p95__tt_100__ridge	mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__exal	NA	static_shrink	gausmix	0.95	100	ridge	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__al	model_path	root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__al	NA	static_shrink	gausmix	0.95	1000	rhs	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__exal	NA	static_shrink	gausmix	0.95	1000	rhs	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__al	model_path	root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__al	NA	static_shrink	gausmix	0.95	1000	ridge	al	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__exal	NA	static_shrink	gausmix	0.95	1000	ridge	exal	in_scope	missing	fresh_vb_then_mcmc	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__al	model_path	root__static_shrink__laplace__tau_0p05__tt_100__rhs	mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__al	NA	static_shrink	laplace	0.05	100	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__exal	model_path	root__static_shrink__laplace__tau_0p05__tt_100__rhs	mp__root__static_shrink__laplace__tau_0p05__tt_100__rhs__exal	NA	static_shrink	laplace	0.05	100	rhs	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__al	model_path	root__static_shrink__laplace__tau_0p05__tt_100__ridge	mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__al	NA	static_shrink	laplace	0.05	100	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__exal	model_path	root__static_shrink__laplace__tau_0p05__tt_100__ridge	mp__root__static_shrink__laplace__tau_0p05__tt_100__ridge__exal	NA	static_shrink	laplace	0.05	100	ridge	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__al	model_path	root__static_shrink__laplace__tau_0p05__tt_1000__rhs	mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__al	NA	static_shrink	laplace	0.05	1000	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__exal	model_path	root__static_shrink__laplace__tau_0p05__tt_1000__rhs	mp__root__static_shrink__laplace__tau_0p05__tt_1000__rhs__exal	NA	static_shrink	laplace	0.05	1000	rhs	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__al	model_path	root__static_shrink__laplace__tau_0p05__tt_1000__ridge	mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__al	NA	static_shrink	laplace	0.05	1000	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__exal	model_path	root__static_shrink__laplace__tau_0p05__tt_1000__ridge	mp__root__static_shrink__laplace__tau_0p05__tt_1000__ridge__exal	NA	static_shrink	laplace	0.05	1000	ridge	exal	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__al	model_path	root__static_shrink__laplace__tau_0p25__tt_100__rhs	mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__al	NA	static_shrink	laplace	0.25	100	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_100__rhs	mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	NA	static_shrink	laplace	0.25	100	rhs	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__al	model_path	root__static_shrink__laplace__tau_0p25__tt_100__ridge	mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__al	NA	static_shrink	laplace	0.25	100	ridge	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_100__ridge	mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__exal	NA	static_shrink	laplace	0.25	100	ridge	exal	in_scope	partial_reusable	resume_mcmc_from_vb	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__al	model_path	root__static_shrink__laplace__tau_0p25__tt_1000__rhs	mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__al	NA	static_shrink	laplace	0.25	1000	rhs	al	in_scope	complete_reusable	skip	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	vb_fit=TRUE | mcmc_fit=TRUE | status_mcmc_done=TRUE
