root_id	root_kind	family	tau	fit_size	prior	model	vb_signoff_grade	mcmc_signoff_grade	vb_comparison_eligible	mcmc_comparison_eligible	pair_signoff_grade	pair_comparison_eligible	runtime_ratio_mcmc_vs_vb	vb_runtime_sec	mcmc_runtime_sec	run_root
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	144.876973549313	4.877	706.565	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	1000	ridge	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	0.699031926898178	117.863	82.39	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	static_shrink	gausmix	0.95	100	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	24.4274163219255	5.318	129.905	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	static_shrink	gausmix	0.95	100	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	11.7275950999355	24.816	291.032	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	100	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	9.61739130434783	0.115	1.106	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	100	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	13.0425295564548	12.603	164.375	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	1000	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	9.16925807596734	14.085	129.149	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	1000	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	11.1414406532517	27.432	305.632	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	static_shrink	gausmix	0.95	1000	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	15.9453125	0.256	4.082	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	static_shrink	gausmix	0.95	1000	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	14.0156930470041	13.318	186.661	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p05__tt_100__rhs	static_shrink	laplace	0.05	100	rhs	al	WARN	PASS	TRUE	TRUE	WARN	TRUE	3.70781002316791	32.804	121.631	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p05__tt_100__rhs	static_shrink	laplace	0.05	100	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	9.54148195060165	28.422	271.188	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p05__tt_100__ridge	static_shrink	laplace	0.05	100	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	25.1555555555556	0.0449999999999999	1.132	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p05__tt_100__ridge	static_shrink	laplace	0.05	100	ridge	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	11.130544536603	13.865	154.325	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p05__tt_1000__rhs	static_shrink	laplace	0.05	1000	rhs	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	4.04010985285143	29.494	119.159	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p05__tt_1000__rhs	static_shrink	laplace	0.05	1000	rhs	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	12.4767446967368	22.769	284.083	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p05__tt_1000__ridge	static_shrink	laplace	0.05	1000	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	13.6350364963504	0.274	3.736	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p05__tt_1000__ridge	static_shrink	laplace	0.05	1000	ridge	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	19.4476017276654	8.798	171.1	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p25__tt_100__rhs	static_shrink	laplace	0.25	100	rhs	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	43.1666059059424	2.743	118.406	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p25__tt_100__rhs	static_shrink	laplace	0.25	100	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	1.20252283313166	60.329	72.547	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p25__tt_100__ridge	static_shrink	laplace	0.25	100	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	67.9411764705886	0.0169999999999999	1.155	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p25__tt_100__ridge	static_shrink	laplace	0.25	100	ridge	exal	FAIL	WARN	FALSE	TRUE	FAIL	FALSE	6.94667415099635	10.689	74.253	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	31.1492146596859	3.82	118.99	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p25__tt_1000__rhs	static_shrink	laplace	0.25	1000	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	1.21501236047644	66.745	81.096	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	43.3882352941176	0.085	3.688	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p25__tt_1000__ridge	static_shrink	laplace	0.25	1000	ridge	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	6.03293720657277	13.632	82.241	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	12.7589941972921	10.34	131.928	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p95__tt_100__rhs	static_shrink	laplace	0.95	100	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	21.1341481158155	13.746	290.51	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	100	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	9.69230769230769	0.117	1.134	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p95__tt_100__ridge	static_shrink	laplace	0.95	100	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	9.89116178328621	16.621	164.401	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	1000	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	10.0898894280487	12.571	126.84	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	static_shrink	laplace	0.95	1000	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	11.6743944236916	25.967	303.149	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__laplace__tau_0p95__tt_1000__ridge	static_shrink	laplace	0.95	1000	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	14	0.26	3.64	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__laplace__tau_0p95__tt_1000__ridge	static_shrink	laplace	0.95	1000	ridge	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	16.1350804678568	11.371	183.472	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p05__tt_100__rhs	static_shrink	normal	0.05	100	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	6.60189919649379	19.166	126.532	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p05__tt_100__rhs	static_shrink	normal	0.05	100	rhs	exal	WARN	WARN	TRUE	TRUE	WARN	TRUE	10.6240002975858	26.883	285.605	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	9.112	0.125	1.139	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p05__tt_100__ridge	static_shrink	normal	0.05	100	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	15.4309990662932	10.71	165.266	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	11.5999817634722	10.967	127.217	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p05__tt_1000__rhs	static_shrink	normal	0.05	1000	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	7.76946672365675	39.773	309.015	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	14.8786764705882	0.272	4.047	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p05__tt_1000__ridge	static_shrink	normal	0.05	1000	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	11.3666750282202	15.946	181.253	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	35.6484264247236	3.527	125.732	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p25__tt_100__rhs	static_shrink	normal	0.25	100	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	1.10122915759932	66.631	73.376	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	100	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	12.0919540229885	0.0870000000000002	1.052	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p25__tt_100__ridge	static_shrink	normal	0.25	100	ridge	exal	FAIL	WARN	FALSE	TRUE	FAIL	FALSE	5.80106332328202	12.602	73.105	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	39.9440581542351	3.164	126.383	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p25__tt_1000__rhs	static_shrink	normal	0.25	1000	rhs	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	1.21479041829288	68.923	83.727	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	al	PASS	PASS	TRUE	TRUE	PASS	TRUE	25.1133333333333	0.15	3.767	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p25__tt_1000__ridge	static_shrink	normal	0.25	1000	ridge	exal	FAIL	FAIL	FALSE	FALSE	FAIL	FALSE	5.75565703380589	14.672	84.447	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	100	rhs	al	WARN	WARN	TRUE	TRUE	WARN	TRUE	3.65630659578197	34.234	125.17	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p95__tt_100__rhs	static_shrink	normal	0.95	100	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	12.1151132874097	24.098	291.95	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100
root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	100	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	8.61068702290076	0.131	1.128	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p95__tt_100__ridge	static_shrink	normal	0.95	100	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	27.4201511335013	5.955	163.287	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	11.4203873783759	10.997	125.59	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p95__tt_1000__rhs	static_shrink	normal	0.95	1000	rhs	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	8.72682090831191	35.01	305.526	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	al	PASS	WARN	TRUE	TRUE	WARN	TRUE	13.0179856115108	0.278	3.619	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
root__static_shrink__normal__tau_0p95__tt_1000__ridge	static_shrink	normal	0.95	1000	ridge	exal	WARN	FAIL	TRUE	FALSE	FAIL	FALSE	14.294003568381	12.891	184.264	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000
