key	kind	family	tau	tt	prior	prepared_root	run_root	batch_label	legacy_jerez_state	legacy_jerez_session	rehomed_from_jerez	rehomed_from_jerez_session	prepared_exists	run_root_exists	run_config_exists	muscat_complete	wave_assigned	wave_batch_done	wave_batch_current	wave_batch_session	rehomed_muscat_session	current_session	current_stage	current_unified_state	sync_pending_from_jerez
static_paper|normal|0.50|1000|	static_paper	normal	0.50	1000	none	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p50/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p50/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_shrink|gausmix|0.05|100|rhs	static_shrink	gausmix	0.05	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	static_shrink_rhs_tt100	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_shrink|gausmix|0.05|100|ridge	static_shrink	gausmix	0.05	100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	static_shrink_ridge_tt100	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_shrink|gausmix|0.05|1000|rhs	static_shrink	gausmix	0.05	1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	static_shrink_rhs_tt1000	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_shrink|gausmix|0.05|1000|ridge	static_shrink	gausmix	0.05	1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	static_shrink_ridge_tt1000	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_shrink|gausmix|0.25|100|rhs	static_shrink	gausmix	0.25	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	static_shrink_rhs_tt100	running_on_jerez_before_rehome	qsp_rss100h_20260310_204439	TRUE	qsp_rss100h_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rss100h_20260312_135054	mqsp_jr_rss100h_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
static_shrink|gausmix|0.25|100|ridge	static_shrink	gausmix	0.25	100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	static_shrink_ridge_tt100	running_on_jerez_before_rehome	qsp_rss100r_20260310_204439	TRUE	qsp_rss100r_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rss100r_20260312_135054	mqsp_jr_rss100r_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
static_shrink|gausmix|0.25|1000|rhs	static_shrink	gausmix	0.25	1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	static_shrink_rhs_tt1000	running_on_jerez_before_rehome	qsp_rss1kh_20260310_204439	TRUE	qsp_rss1kh_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rss1kh_20260312_135054	mqsp_jr_rss1kh_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
static_shrink|gausmix|0.25|1000|ridge	static_shrink	gausmix	0.25	1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	static_shrink_ridge_tt1000	running_on_jerez_before_rehome	qsp_rss1kr_20260310_204439	TRUE	qsp_rss1kr_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rss1kr_20260312_135054	mqsp_jr_rss1kr_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
static_shrink|gausmix|0.50|100|rhs	static_shrink	gausmix	0.50	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p50/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p50/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	static_shrink_rhs_tt100	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE				complete_on_muscat	complete_on_muscat	FALSE
