"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","model","gate_overall.mcmc","healthy.mcmc","gate_rank_num.mcmc","runtime_sec.mcmc","selected_pool.mcmc","selected_candidate.mcmc","gate_overall.vb","healthy.vb","gate_rank_num.vb","runtime_sec.vb","selected_pool.vb","selected_candidate.vb","gate_delta_mcmc_minus_vb","gate_comparison","runtime_ratio_mcmc_over_vb","faster_method"
"static_shrink::gausmix::0p95::1000::rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p95",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p95::1000::rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p95",1000,"rhs","exal","PASS",TRUE,1,171.218,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,12.344,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",13.870544,"vb"
"static_shrink::gausmix::0p95::1000::ridge","root__static_shrink__gausmix__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p95::1000::ridge","root__static_shrink__gausmix__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,12.37,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_shrink::laplace::0p05::100::rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs","static_shrink","static_shrink","laplace","0p05",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,0.959000000000001,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::laplace::0p05::100::rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs","static_shrink","static_shrink","laplace","0p05",100,"rhs","exal","PASS",TRUE,1,55.483,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,11.451,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.845254,"vb"
"static_shrink::laplace::0p05::100::ridge","root__static_shrink__laplace__tau_0p05__tt_100__ridge","static_shrink","static_shrink","laplace","0p05",100,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p05::100::ridge","root__static_shrink__laplace__tau_0p05__tt_100__ridge","static_shrink","static_shrink","laplace","0p05",100,"ridge","exal","PASS",TRUE,1,52.228,"syncedbase_targeted_followup_20260407","row_0011","PASS",TRUE,1,11.397,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.582609,"vb"
"static_shrink::laplace::0p05::1000::rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","laplace","0p05",1000,"rhs","al","PASS",TRUE,1,9.389,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p05::1000::rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","laplace","0p05",1000,"rhs","exal","PASS",TRUE,1,60.307,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,10.99,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",5.487443,"vb"
"static_shrink::laplace::0p05::1000::ridge","root__static_shrink__laplace__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","laplace","0p05",1000,"ridge","al","PASS",TRUE,1,9.275,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p05::1000::ridge","root__static_shrink__laplace__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","laplace","0p05",1000,"ridge","exal","PASS",TRUE,1,140.797,"hybrid_291_selection","F0825_sub2_s1025_rwlong","PASS",TRUE,1,10.888,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",12.931392,"vb"
"static_shrink::laplace::0p25::100::rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","al","PASS",TRUE,1,20.06,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p25::100::rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","exal","PASS",TRUE,1,52.708,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,13.768,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",3.828298,"vb"
"static_shrink::laplace::0p25::100::ridge","root__static_shrink__laplace__tau_0p25__tt_100__ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p25::100::ridge","root__static_shrink__laplace__tau_0p25__tt_100__ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","exal","PASS",TRUE,1,52.19,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,13.751,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",3.79536,"vb"
"static_shrink::laplace::0p25::1000::rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p25::1000::rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","exal","PASS",TRUE,1,65.636,"syncedbase_residual_repair_20260407","row_0236","WARN",TRUE,2,16.372,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",4.00904,"vb"
"static_shrink::laplace::0p25::1000::ridge","root__static_shrink__laplace__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p25::1000::ridge","root__static_shrink__laplace__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","exal","PASS",TRUE,1,55.318,"syncedbase_faithful_replay_20260407","row_0200","WARN",TRUE,2,16.185,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",3.417856,"vb"
"static_shrink::laplace::0p95::100::rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs","static_shrink","static_shrink","laplace","0p95",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p95::100::rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs","static_shrink","static_shrink","laplace","0p95",100,"rhs","exal","PASS",TRUE,1,51.846,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,6.31,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",8.216482,"vb"
"static_shrink::laplace::0p95::100::ridge","root__static_shrink__laplace__tau_0p95__tt_100__ridge","static_shrink","static_shrink","laplace","0p95",100,"ridge","al","PASS",TRUE,1,6.638,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p95::100::ridge","root__static_shrink__laplace__tau_0p95__tt_100__ridge","static_shrink","static_shrink","laplace","0p95",100,"ridge","exal","PASS",TRUE,1,53.852,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,6.343,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",8.489989,"vb"
"static_shrink::laplace::0p95::1000::rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p95::1000::rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","exal","WARN",TRUE,2,148.112,"static_refresh_compact","rhs_legacy_refresh_20260329","PASS",TRUE,1,11.39,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",13.003687,"vb"
"static_shrink::laplace::0p95::1000::ridge","root__static_shrink__laplace__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","laplace","0p95",1000,"ridge","al","PASS",TRUE,1,10.493,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::laplace::0p95::1000::ridge","root__static_shrink__laplace__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","laplace","0p95",1000,"ridge","exal","PASS",TRUE,1,61.591,"syncedbase_targeted_followup_20260407","row_0012","PASS",TRUE,1,11.213,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",5.492821,"vb"
"static_shrink::normal::0p05::100::rhs","root__static_shrink__normal__tau_0p05__tt_100__rhs","static_shrink","static_shrink","normal","0p05",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
