"base_row_id","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","selected_fit_exists","source_run_root_exists","series_wide_exists","selection_indices_exists","true_quantile_grid_exists","coef_truth_exists","materialized_sim_exists","data_ready","baseline_seed"
77,"static_paper::gausmix::0p05::1000::paper::al::mcmc","static_paper","gausmix","0p05",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205851
78,"static_paper::gausmix::0p05::1000::paper::al::vb","static_paper","gausmix","0p05",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,195935
79,"static_paper::gausmix::0p05::1000::paper::exal::mcmc","static_paper","gausmix","0p05",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,216948
80,"static_paper::gausmix::0p05::1000::paper::exal::vb","static_paper","gausmix","0p05",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,206632
81,"static_paper::gausmix::0p25::100::paper::al::mcmc","static_paper","gausmix","0p25",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202814
82,"static_paper::gausmix::0p25::100::paper::al::vb","static_paper","gausmix","0p25",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,193098
83,"static_paper::gausmix::0p25::100::paper::exal::mcmc","static_paper","gausmix","0p25",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,213690
84,"static_paper::gausmix::0p25::100::paper::exal::vb","static_paper","gausmix","0p25",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,203574
85,"static_paper::gausmix::0p25::1000::paper::al::mcmc","static_paper","gausmix","0p25",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,205903
86,"static_paper::gausmix::0p25::1000::paper::al::vb","static_paper","gausmix","0p25",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,195987
87,"static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper","gausmix","0p25",1000,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,217000
88,"static_paper::gausmix::0p25::1000::paper::exal::vb","static_paper","gausmix","0p25",1000,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,206684
89,"static_paper::gausmix::0p95::100::paper::al::mcmc","static_paper","gausmix","0p95",100,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,202996
90,"static_paper::gausmix::0p95::100::paper::al::vb","static_paper","gausmix","0p95",100,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,193280
91,"static_paper::gausmix::0p95::100::paper::exal::mcmc","static_paper","gausmix","0p95",100,"paper","exal","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,213872
92,"static_paper::gausmix::0p95::100::paper::exal::vb","static_paper","gausmix","0p95",100,"paper","exal","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,203756
93,"static_paper::gausmix::0p95::1000::paper::al::mcmc","static_paper","gausmix","0p95",1000,"paper","al","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,206085
94,"static_paper::gausmix::0p95::1000::paper::al::vb","static_paper","gausmix","0p95",1000,"paper","al","vb",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,196169
