"block","family","tau_label","fit_size","prior_semantics","inference","original_scenario_key","base_model","extended_model","primary_accuracy_base","primary_accuracy_extended","primary_accuracy_delta","coverage_base","coverage_extended","coverage_delta","mean_ci_width_base","mean_ci_width_extended","mean_ci_width_delta","runtime_sec_base","runtime_sec_extended","runtime_ratio_extended_over_base","gate_base","gate_extended","healthy_base","healthy_extended","exal_better_accuracy","exal_healthier","base_metric_source","extended_metric_source"
"static_shrink","laplace","0p95",1000,"rhs_ns","vb","static_shrink::laplace::0p95::1000::rhs_ns","al","exal",0.287380885833066,0.657041535925449,0.369660650092383,NA,NA,NA,NA,NA,NA,1.447,13.087,9.04422944022115,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","laplace","0p95",1000,"ridge","mcmc","static_shrink::laplace::0p95::1000::ridge","al","exal",0.333127061641484,0.538503801045552,0.205376739404068,0.589,0.064,-0.525,0.577913151262707,0.519645919626941,-0.0582672316357661,10.493,61.591,5.8697226722577,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","laplace","0p95",1000,"ridge","vb","static_shrink::laplace::0p95::1000::ridge","al","exal",0.326606231691798,0.663386775087131,0.336780543395333,0.287,0.008,-0.279,0.260878363740088,0.323705099038548,0.06282673529846,0.26,11.213,43.1269230769231,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p05",100,"rhs_ns","mcmc","static_shrink::normal::0p05::100::rhs_ns","al","exal",0.50995452709509,0.425139524163126,-0.084815002931964,NA,NA,NA,NA,NA,NA,6.974,33.518,4.80613708058503,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p05",100,"rhs_ns","vb","static_shrink::normal::0p05::100::rhs_ns","al","exal",0.561396022112212,0.542985298411856,-0.0184107237003559,NA,NA,NA,NA,NA,NA,2.685,13.259,4.93817504655494,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p05",100,"ridge","mcmc","static_shrink::normal::0p05::100::ridge","al","exal",0.698012840455857,0.521623222045446,-0.176389618410411,0.71,0.78,0.0700000000000001,1.45993835888925,1.37536099769124,-0.0845773611980101,7.187,28.692,3.99220815361069,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p05",100,"ridge","vb","static_shrink::normal::0p05::100::ridge","al","exal",0.789463780884338,0.673416217549967,-0.116047563334371,0.26,0.37,0.11,0.578302140271327,0.793380745681618,0.215078605410291,0.125,11.315,90.52,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p05",1000,"rhs_ns","mcmc","static_shrink::normal::0p05::1000::rhs_ns","al","exal",0.224859060494508,0.207558711672621,-0.017300348821887,NA,NA,NA,NA,NA,NA,9.212,131.43,14.2672600955276,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p05",1000,"rhs_ns","vb","static_shrink::normal::0p05::1000::rhs_ns","al","exal",0.230156775317431,0.258601795480292,0.028445020162861,NA,NA,NA,NA,NA,NA,0.976,14.207,14.5563524590164,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p05",1000,"ridge","mcmc","static_shrink::normal::0p05::1000::ridge","al","exal",0.227756540119083,0.203802911450112,-0.023953628668971,0.483,0.614,0.131,0.323763914322691,0.392327399929979,0.068563485607288,4.047,63.046,15.5784531751915,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p05",1000,"ridge","vb","static_shrink::normal::0p05::1000::ridge","al","exal",0.233058264638726,0.266865708624042,0.033807443985316,0.269,0.277,0.00800000000000001,0.162496885253976,0.236370425680071,0.073873540426095,0.272,16.64,61.1764705882353,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p25",100,"rhs_ns","mcmc","static_shrink::normal::0p25::100::rhs_ns","al","exal",0.444429033907687,0.313551974917207,-0.13087705899048,NA,NA,NA,NA,NA,NA,6.461,74.232,11.489243151215,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p25",100,"rhs_ns","vb","static_shrink::normal::0p25::100::rhs_ns","al","exal",0.56498240139359,NA,NA,NA,NA,NA,NA,NA,NA,1.442,28.876,20.0249653259362,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p25",100,"ridge","mcmc","static_shrink::normal::0p25::100::ridge","al","exal",0.589210475916598,0.450994672739442,-0.138215803177156,0.7,0.89,0.19,1.19133824467206,1.41716208319024,0.22582383851818,1.052,73.105,69.4914448669201,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p25",100,"ridge","vb","static_shrink::normal::0p25::100::ridge","al","exal",0.623780885216213,NA,NA,0.51,NA,NA,0.877904665905859,NA,NA,0.0870000000000002,13.105,150.632183908046,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p25",1000,"rhs_ns","mcmc","static_shrink::normal::0p25::1000::rhs_ns","al","exal",0.172763339548643,0.103419167250588,-0.069344172298055,NA,NA,NA,NA,NA,NA,10.04,133.111,13.2580677290837,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p25",1000,"rhs_ns","vb","static_shrink::normal::0p25::1000::rhs_ns","al","exal",0.17568440929421,NA,NA,NA,NA,NA,NA,NA,NA,0.984,35.285,35.8587398373984,"PASS","WARN",TRUE,TRUE,NA,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p25",1000,"ridge","mcmc","static_shrink::normal::0p25::1000::ridge","al","exal",0.18339301312476,0.127438702647447,-0.055954310477313,0.716,0.903,0.187,0.406164144730177,0.415765046164309,0.009600901434132,3.767,58.993,15.6604725245554,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p25",1000,"ridge","vb","static_shrink::normal::0p25::1000::ridge","al","exal",0.184311809432008,NA,NA,0.487,NA,NA,0.245774415890244,NA,NA,0.15,15.933,106.22,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p95",100,"rhs_ns","mcmc","static_shrink::normal::0p95::100::rhs_ns","al","exal",0.63430942373119,0.388585030528027,-0.245724393203163,NA,NA,NA,NA,NA,NA,6.836,68.52,10.0234055002926,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p95",100,"rhs_ns","vb","static_shrink::normal::0p95::100::rhs_ns","al","exal",0.667687321863581,0.465703942626559,-0.201983379237022,NA,NA,NA,NA,NA,NA,1.07,10.411,9.72990654205607,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p95",100,"ridge","mcmc","static_shrink::normal::0p95::100::ridge","al","exal",0.688758273724768,0.393245862106415,-0.295512411618353,0.87,0.97,0.1,2.0936983477594,1.59715398134498,-0.49654436641442,7.747,94.545,12.2040789983219,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p95",100,"ridge","vb","static_shrink::normal::0p95::100::ridge","al","exal",0.89586719708772,0.461982181458218,-0.433885015629502,0.4,0.72,0.32,0.780569615973304,1.04950098456499,0.268931368591686,0.131,8.841,67.4885496183206,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p95",1000,"rhs_ns","mcmc","static_shrink::normal::0p95::1000::rhs_ns","al","exal",0.184940024967043,0.22106285437248,0.036122829405437,NA,NA,NA,NA,NA,NA,8.982,76.62,8.53039412157649,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p95",1000,"rhs_ns","vb","static_shrink::normal::0p95::1000::rhs_ns","al","exal",0.176780181920657,0.284551306849419,0.107771124928762,NA,NA,NA,NA,NA,NA,1.06,14.851,14.0103773584906,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"rhsns_wave_metrics","rhsns_wave_metrics"
"static_shrink","normal","0p95",1000,"ridge","mcmc","static_shrink::normal::0p95::1000::ridge","al","exal",0.193946617036336,0.206404982656469,0.012458365620133,0.712,0.595,-0.117,0.419842412693811,0.412497733859411,-0.00734467883439999,10.148,62.346,6.14367363027197,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_shrink","normal","0p95",1000,"ridge","vb","static_shrink::normal::0p95::1000::ridge","al","exal",0.185970662842196,0.289031323876886,0.10306066103469,0.377,0.197,-0.18,0.191663723603183,0.252597515642689,0.060933792039506,0.278,13.071,47.0179856115108,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
