"block","root_kind","family","tau_label","fit_size","prior_semantics","model","inference","original_case_key","original_scenario_key","gate_overall","healthy","runtime_sec","primary_accuracy","coverage","mean_ci_width","mae","bias","corr","cie","beta_rmse_mean","beta_coverage_gap","metric_source","metric_error"
"dynamic","dynamic","normal","0p95",500,"default","dqlm","vb","dynamic::normal::0p95::500::default::dqlm::vb","dynamic::normal::0p95::500::default","PASS",TRUE,36.012,2113.9027033332,0.02,726.51573310825,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",500,"default","exdqlm","vb","dynamic::normal::0p95::500::default::exdqlm::vb","dynamic::normal::0p95::500::default","PASS",TRUE,152.831,1846.95861369825,0.058,513.151816496402,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","dqlm","mcmc","dynamic::normal::0p95::5000::default::dqlm::mcmc","dynamic::normal::0p95::5000::default","PASS",TRUE,1753.689,98.4106776970079,0.9394,19.8291314341924,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","exdqlm","mcmc","dynamic::normal::0p95::5000::default::exdqlm::mcmc","dynamic::normal::0p95::5000::default","PASS",TRUE,19134.688,88.3085301989364,0.0036,16.1013845452441,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","dqlm","vb","dynamic::normal::0p95::5000::default::dqlm::vb","dynamic::normal::0p95::5000::default","PASS",TRUE,394.194,100.616878772362,0.9078,12.0235972702329,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","exdqlm","vb","dynamic::normal::0p95::5000::default::exdqlm::vb","dynamic::normal::0p95::5000::default","PASS",TRUE,886.794,89.4872775269233,0.0024,12.7307865680334,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","al","mcmc","static_paper::gausmix::0p05::100::paper::al::mcmc","static_paper::gausmix::0p05::100::paper","PASS",TRUE,6.269,1.29269392327013,0.66,2.63968318997443,0.993726982373153,-0.212559988361248,0.972657618917818,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","exal","mcmc","static_paper::gausmix::0p05::100::paper::exal::mcmc","static_paper::gausmix::0p05::100::paper","PASS",TRUE,53.56,0.812404938082459,0.83,2.31508898754691,0.632139703934264,0.148322028838624,0.987955662573566,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","al","vb","static_paper::gausmix::0p05::100::paper::al::vb","static_paper::gausmix::0p05::100::paper","PASS",TRUE,0.128,1.45455224205278,0.28,0.95358977449953,1.13181060113843,-0.00454110577343539,0.9649167042443,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","exal","vb","static_paper::gausmix::0p05::100::paper::exal::vb","static_paper::gausmix::0p05::100::paper","PASS",TRUE,10.362,1.03202737591321,0.52,1.46984099339323,0.79800469147491,0.296615791078004,0.980528415888431,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","al","mcmc","static_paper::gausmix::0p05::1000::paper::al::mcmc","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,80.418,0.43982322525956,0.453,0.557550004054411,0.351071901174409,-0.10386902015034,0.996363315444602,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","exal","mcmc","static_paper::gausmix::0p05::1000::paper::exal::mcmc","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,65.241,0.40458249541562,0.429,0.657960061650104,0.359986153884508,0.352871050927188,0.999144049898489,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","al","vb","static_paper::gausmix::0p05::1000::paper::al::vb","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,0.345,0.427855367327287,0.243,0.284856402522348,0.341431195328595,-0.121418328943091,0.996529551199065,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","exal","vb","static_paper::gausmix::0p05::1000::paper::exal::vb","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,14.528,0.581605322091971,0.116,0.396209774678487,0.524193978313833,0.51886442022227,0.998593880072851,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",100,"paper","al","mcmc","static_paper::gausmix::0p25::100::paper::al::mcmc","static_paper::gausmix::0p25::100::paper","PASS",TRUE,19.805,0.683948651245526,0.88,2.19631151147724,0.544856547036002,-0.0750220695564445,0.990876891612556,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",100,"paper","exal","mcmc","static_paper::gausmix::0p25::100::paper::exal::mcmc","static_paper::gausmix::0p25::100::paper","WARN",TRUE,54.294,0.755185975752924,0.83,2.03086549436958,0.615328114273742,0.111814330733798,0.989632025719168,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",100,"paper","al","vb","static_paper::gausmix::0p25::100::paper::al::vb","static_paper::gausmix::0p25::100::paper","PASS",TRUE,0.0419999999999998,0.703369101071372,0.67,1.4534480267232,0.564088168355429,-0.0715944250704418,0.989961798193329,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",100,"paper","exal","vb","static_paper::gausmix::0p25::100::paper::exal::vb","static_paper::gausmix::0p25::100::paper","WARN",TRUE,13.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",1000,"paper","al","mcmc","static_paper::gausmix::0p25::1000::paper::al::mcmc","static_paper::gausmix::0p25::1000::paper","PASS",TRUE,111.366,0.298752909980154,0.672,0.60998769355587,0.237284543233019,-0.0166845357169602,0.99804142024258,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",1000,"paper","exal","mcmc","static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper::gausmix::0p25::1000::paper","PASS",TRUE,59.175,0.212862840606021,0.872,0.652860609371341,0.173107099991481,0.0885779467321044,0.999246938483953,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",1000,"paper","al","vb","static_paper::gausmix::0p25::1000::paper::al::vb","static_paper::gausmix::0p25::1000::paper","PASS",TRUE,1.261,0.308259985981228,0.439,0.368883496979443,0.244791803571536,-0.0213680456352901,0.997922061737833,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p25",1000,"paper","exal","vb","static_paper::gausmix::0p25::1000::paper::exal::vb","static_paper::gausmix::0p25::1000::paper","WARN",TRUE,16.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",100,"paper","al","mcmc","static_paper::gausmix::0p95::100::paper::al::mcmc","static_paper::gausmix::0p95::100::paper","PASS",TRUE,6.278,1.1091326554286,0.51,1.89296357290392,0.935394160792732,-0.461520472049758,0.98442498748055,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",100,"paper","exal","mcmc","static_paper::gausmix::0p95::100::paper::exal::mcmc","static_paper::gausmix::0p95::100::paper","WARN",TRUE,53.368,1.209233338791,0.53,2.17705782144677,1.02319942979499,-0.787248844877497,0.985145536859083,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",100,"paper","al","vb","static_paper::gausmix::0p95::100::paper::al::vb","static_paper::gausmix::0p95::100::paper","PASS",TRUE,0.115,1.1885741635325,0.21,0.850581530247755,0.992314302743778,-0.435485170412343,0.977861752380248,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",100,"paper","exal","vb","static_paper::gausmix::0p95::100::paper::exal::vb","static_paper::gausmix::0p95::100::paper","PASS",TRUE,9.913,1.4117197221197,0.32,1.27852597576766,1.1909591046557,-1.00611268652272,0.987342204161377,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",1000,"paper","al","mcmc","static_paper::gausmix::0p95::1000::paper::al::mcmc","static_paper::gausmix::0p95::1000::paper","PASS",TRUE,8.724,0.373118089761044,0.6,0.670274488050812,0.299483528917588,-0.21786823292285,0.997983529307132,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p95",1000,"paper","exal","mcmc","static_paper::gausmix::0p95::1000::paper::exal::mcmc","static_paper::gausmix::0p95::1000::paper","WARN",TRUE,180.42,0.647615606027886,0.092,0.649956281359081,0.612534381372408,-0.612508871923786,0.999241023152866,NA,NA,NA,"validation_tables",NA
