"t","y","mu","q_true_05","q_true_50","q_true_95","q_syn_05","q_syn_50","q_syn_95","window","q_model_p005","q_model_p050","q_model_p095"
2550,-0.215896352967614,2.87647409159391,-2.08194317875788,2.87647409159391,7.8348913619457,-2.75308163386121,2.19599432915631,8.24296131018506,"train",-2.54893864680959,2.07990799960877,7.91837650140603
2551,7.92495259652838,5.10657510482199,0.148157954697391,5.10657510482199,10.0649922549466,0.044058018593703,4.65068280169466,10.7909756177929,"train",0.0988514468111583,4.72993940974376,10.7440383154591
2552,8.80087766276174,7.20992989522433,2.25151286526091,7.20992989522433,12.1683469251877,2.36756170859774,7.53732736836817,12.085335890448,"train",2.42270846845689,7.4653756615419,12.0522090580059
2553,6.99220878612016,8.98433401804813,4.02591710816298,8.98433401804813,13.9427509279333,4.1752350661637,8.86209459148052,13.9586828285809,"train",4.29678703251533,8.69689892742887,13.8705990565963
2554,4.74065861800782,10.2893245749549,5.33090778504992,10.2893245749549,15.24774136486,5.95854187325921,10.877036506176,15.0761042307712,"train",5.96692848332266,10.8828455730434,15.0841040777286
2555,10.5318679160056,11.0311696883245,6.07275301828878,11.0311696883245,15.9895863583601,5.97315791323563,11.7867652825215,16.8059389860216,"train",6.04595724667449,11.7747531672807,16.8238001270948
2556,4.2334984903897,11.2271703467266,6.26875379643984,11.2271703467266,16.1855868970133,6.27449802334965,11.4504020391537,16.8717904567243,"train",6.33706188436705,11.4452217133903,16.7418084253121
2557,13.089717030651,10.7341065961783,5.7756901655142,10.7341065961783,15.6925230268423,6.51885397916011,11.122273607582,16.3557806800872,"train",6.39517991083687,11.1356218576272,16.3582897172424
2558,7.01620083796896,9.70708754775382,4.7486712365839,9.70708754775382,14.6655038589237,5.38419543633765,10.501181527594,14.9347521797307,"train",5.42855100818601,10.5369705956848,15.1240229782384
2559,5.38582437487304,8.04528269470605,3.08686650290344,8.04528269470605,13.0036988865087,4.15976459730079,8.56906631403944,13.5408834887327,"train",4.17611060859145,8.53245115319043,13.5068181440539
2560,1.96549901310934,5.86961703229846,0.911200959741546,5.86961703229846,10.8280331048554,2.02336736024683,6.08418298831475,11.1988419748402,"train",2.4031534419294,6.23530827133848,11.1478860230329
2561,6.15786413270216,3.26990026402066,-1.6885156894038,3.26990026402066,8.22831621744511,-0.449679812145162,3.77578951693114,8.61359568617044,"train",-0.424925992159383,3.702178417067,8.53999079335934
2562,-3.96896694379616,0.448426419779191,-4.50998941461511,0.448426419779191,5.40684225417349,-3.93473292897179,1.29537517599557,6.03490415344761,"train",-3.74732718103174,1.3267417348221,5.96678782688539
2563,-2.22716873561874,-2.58882098579656,-7.54723670125028,-2.58882098579656,2.36959472965715,-7.40189074131008,-2.19341395831325,2.80308394298645,"train",-7.36308257273717,-2.07846865450331,2.75601074650119
2564,-1.84508528982604,-5.57539327374928,-10.5338088703383,-5.57539327374928,-0.616977677160294,-10.4104214314714,-5.50810191756386,0.175705472276767,"train",-10.3854559342225,-5.46302294547015,0.0200543480619774
2565,-8.5183775550299,-8.37649898035243,-13.3349144581387,-8.37649898035243,-3.41808350256615,-13.0188869893023,-7.92772793333263,-3.17019081269944,"train",-12.9829199540272,-7.91163012140452,-3.4619237440094
2566,-20.5859708450953,-10.9227540625394,-15.8811694215719,-10.9227540625394,-5.96433870350695,-16.6044853810756,-10.6616377449251,-5.68391919146659,"train",-16.2142975933562,-10.6614367503829,-5.70284113463343
2567,-10.9700454179713,-13.1446319014309,-18.1030471417469,-13.1446319014309,-8.18621666111484,-18.9700382382528,-12.8151112202559,-7.70143190916324,"train",-18.5051169096502,-12.740775501913,-7.94595763509003
